Designator,Mid X,Mid Y,Rotation,Layer
SW35(Z)1,92.93,-130.6175,0.0,top
SW36(D)1,121.505,-111.5675,0.0,top
SW37(X)1,111.98,-130.6175,0.0,top
SW38(F)1,140.555,-111.5675,0.0,top
SW39(C)1,131.03,-130.6175,0.0,top
SW4,427.40177,-51.74752,0.0,top
SW4(2)1,88.1675,-73.4675,0.0,top
SW40(G)1,159.605,-111.5675,0.0,top
SW41(V)1,150.08,-130.6175,0.0,top
SW42(H)1,178.655,-111.5675,0.0,top
SW43(B)1,169.13,-130.6175,0.0,top
SW44(J)1,197.705,-111.5675,0.0,top
SW45(N)1,188.18,-130.6175,0.0,top
SW46(K)1,216.755,-111.5675,0.0,top
SW47(M)1,207.23,-130.6175,0.0,top
SW48(L)1,235.805,-111.5675,0.0,top
"SW49(,)1",226.28,-130.6175,0.0,top
SW5,246.53,-61.205,180.0,top
SW5(3)1,107.2175,-73.4675,0.0,top
SW50(;)1,254.855,-111.5675,0.0,top
SW51(.)1,245.33,-130.6175,0.0,top
SW52(')1,273.905,-111.5675,0.0,top
SW53(/)1,264.38,-130.6175,0.0,top
SW54(RET)1,292.955,-111.5675,0.0,top
SW55(RSHIFT)1,283.43,-130.6175,0.0,top
SW56(UNUSED)1,312.005,-111.5675,0.0,top
SW57(UP)1,302.48,-130.6175,0.0,top
SW58(GLOBE)1,50.0675,-149.6675,0.0,top
SW6(4)1,126.2675,-73.4675,0.0,top
SW60(LCTRL)1,69.1175,-149.6675,0.0,top
SW62(SUPER)1,88.1675,-149.6675,0.0,top
SW64(LALT)1,107.2175,-149.6675,0.0,top
SW66(SPC)1,131.03,-149.6675,0.0,top
SW68(SPC)1,150.08,-149.6675,0.0,top
SW7(5)1,145.3175,-73.4675,0.0,top
SW70(SPC)1,169.13,-149.6675,0.0,top
SW72(SPC)1,188.18,-149.6675,0.0,top
SW74(SPC)1,207.23,-149.6675,0.0,top
SW76(RALT)1,231.1425,-149.7675,0.0,top
SW78(RCTRL)1,255.455,-149.6675,0.0,top
SW8(6)1,164.3675,-73.4675,0.0,top
SW80(LEFT)1,283.43,-149.6675,0.0,top
SW82(DOWN)1,302.48,-149.6675,0.0,top
SW84(RIGHT)1,321.53,-149.6675,0.0,top
SW9(7)1,183.4175,-73.4675,0.0,top
U1,356.77,-50.6425,0.0,top
U2,323.19,-48.71,180.0,top
U3,150.315,-56.0425,0.0,top
U4,345.64,-70.0425,0.0,top
U5,346.10177,-138.19752,0.0,top
U6,78.6425,-59.7825,0.0,bottom
USB1,173.86,-48.6725,180.0,top
